Product Name,Price,Brand,Category,Description,Rating,Style Attributes,Size,Color,Purchase History,Average Age Of Clients,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,Feedback
MQW4STJ,159.58,Tommy Hilfiger,Activewear,Bad,3.9739637690943126,Minimalist,XS,Indigo,Medium,20,W,Song of Style,Winter,Evening,115,1753,Positive
N38FHN2,219.87,Alexander McQueen,Footwear,Very Good,4.405449308435547,Vintage,XL,Blue,High,44,Elle,Kendall Jenner,Summer,Morning,153,3668,Negative
89PC3RO,166.32,Alexander McQueen,Swimwear,Worst,4.3834554750189,Formal,M,SeaGreen,Medium,37,Grazia,Chiara Ferragni,Winter,Morning,141,2686,Negative
CIDVTDE,37.67,Ted Baker,Accessories,Not Good,3.5419560634883056,Vintage,S,Purple,Medium,54,InStyle,Olivia Palermo,Spring,Afternoon,101,1997,Neutral
7DJ5W9T,227.12,Ralph Lauren,Bottoms,Worst,3.7747262302979965,Minimalist,XL,DarkGoldenRod,Low,22,Grazia,Aimee Song,Fall,Morning,77,1761,Negative
7729CVU,48.35,Ted Baker,Accessories,Worst,3.33977642459696,Casual,S,MediumOrchid,Low,21,Glamour,Olivia Palermo,Fall,Afternoon,184,522,Neutral
YX6AV69,149.89,Calvin Klein,Swimwear,Very Bad,3.9207001335097744,Edgy,XL,NavajoWhite,High,40,Harper's Bazaar,Kendall Jenner,Winter,Afternoon,104,4325,Negative
CP8QPAU,69.78,Burberry,Swimwear,Best,4.296284935091534,Formal,M,Bisque,High,44,Fashionista,Aimee Song,Summer,Evening,128,2122,Neutral
FRQX62Z,50.03,Jigsaw,Accessories,Not Good,3.7704002845300093,Minimalist,S,Olive,Medium,47,Vogue,Aimee Song,Summer,Evening,129,3071,Neutral
VJ5SMFU,76.86,Alexander McQueen,Lingerie,Very Good,4.081669436759513,Bohemian,XL,Snow,High,53,Vogue,Camila Coelho,Fall,Evening,198,1079,Neutral
P4ESPVJ,87.6,Mulberry,Bottoms,Good,4.075655843423081,Glamorous,M,Gray,High,59,Grazia,Chiara Ferragni,Summer,Afternoon,192,3152,Neutral
UWMWQ5B,92.4,Ted Baker,Jewelry,Best,3.6868783701994357,Sporty,XL,Chartreuse,Medium,22,InStyle,Camila Coelho,Summer,Evening,181,351,Negative
NK5OA7G,159.66,Jigsaw,Bottoms,Very Good,3.391123542646711,Edgy,S,Ivory,Low,38,Glamour,Aimee Song,Spring,Afternoon,98,3505,Negative
PXNX9GA,94.88,Tommy Hilfiger,Lingerie,Very Bad,3.593590057588148,Sporty,XL,MediumBlue,Medium,20,Elle,Gigi Hadid,Spring,Morning,93,1258,Neutral
NVV9ZUS,136.98,Calvin Klein,Bottoms,Bad,3.846852395518515,Bohemian,M,Azure,Medium,47,Vogue,Camila Coelho,Autumn,Evening,89,3670,Positive
JW5HM7Y,73.46,Mulberry,Outerwear,Very Bad,3.823029958181712,Edgy,XS,LightSlateGray,Medium,55,Harper's Bazaar,Leandra Medine,Autumn,Afternoon,156,4457,Positive
4Q09JEG,62.43,Tommy Hilfiger,Bottoms,Bad,3.6756092795160797,Minimalist,M,DarkSeaGreen,Low,41,W,Julie Sariñana,Summer,Evening,61,3375,Positive
Q68WORC,348.51,Ralph Lauren,Dresses,Not Good,4.5777989215744475,Vintage,S,Beige,Medium,33,Fashionista,Chiara Ferragni,Fall,Afternoon,172,4949,Positive
BPII0YF,50.84,Burberry,Accessories,Very Good,4.1337645857611065,Edgy,S,DimGray,Medium,32,InStyle,Leandra Medine,Summer,Evening,94,2914,Neutral
KXPX8Y5,209.51,Mulberry,Footwear,Worst,3.641976512214039,Vintage,S,ForestGreen,High,31,Vogue,Camila Coelho,Autumn,Afternoon,54,491,Neutral
KNKMGVV,218.87,Alexander McQueen,Bottoms,Best,4.266466057697073,Formal,XS,LightPink,High,33,InStyle,Leandra Medine,Summer,Evening,119,4480,Positive
VP62T2Q,71.11,Burberry,Accessories,Very Good,4.027806665962739,Casual,L,DarkOliveGreen,Medium,54,Marie Claire,Negin Mirsalehi,Winter,Evening,198,2846,Positive
ZEIJ4BQ,32.58,Ted Baker,Accessories,Best,3.721082417832742,Bohemian,XS,MediumBlue,Low,56,Fashionista,Negin Mirsalehi,Summer,Evening,163,4518,Positive
RTV1E9P,25.32,Ted Baker,Tops,Very Bad,3.2434484834082613,Formal,S,HoneyDew,Medium,30,Glamour,Chiara Ferragni,Autumn,Morning,86,241,Positive
L2G33QW,110.52,Calvin Klein,Tops,Not Good,3.734396008807525,Vintage,S,DarkGreen,Medium,40,Elle,Gigi Hadid,Winter,Evening,140,402,Neutral
QAK7IS1,80.46,Calvin Klein,Swimwear,Worst,3.258461507916761,Casual,M,Khaki,Low,43,Marie Claire,Kendall Jenner,Winter,Morning,101,255,Negative
HS4O2Y5,57.77,Alexander McQueen,Accessories,Best,4.118182187084312,Bohemian,L,LightBlue,High,59,Cosmopolitan,Chiara Ferragni,Spring,Afternoon,92,1692,Neutral
2X0TMOU,61.69,Tommy Hilfiger,Jewelry,Bad,3.6277582181420676,Edgy,L,IndianRed,Low,58,Cosmopolitan,Aimee Song,Winter,Afternoon,132,2439,Positive
BWCQO63,134.35,Tommy Hilfiger,Outerwear,Best,3.757843632641706,Streetwear,XS,DarkCyan,Medium,46,Grazia,Julie Sariñana,Summer,Afternoon,95,771,Negative
VKAO5H4,57.37,Alexander McQueen,Activewear,Best,3.8245078194734496,Formal,S,Green,Low,47,Fashionista,Aimee Song,Fall,Afternoon,83,751,Neutral
2UBUBKT,438.53,Ralph Lauren,Dresses,Very Bad,4.199981309534469,Formal,M,Linen,Medium,48,Cosmopolitan,Leandra Medine,Summer,Afternoon,125,1376,Negative
KVH9X0K,182.69,Ralph Lauren,Jewelry,Worst,3.8337768795874125,Sporty,S,Pink,Low,35,W,Olivia Palermo,Autumn,Morning,53,3105,Negative
SZVUZR0,421.53,Mulberry,Footwear,Best,4.190692571332388,Vintage,S,Moccasin,High,43,Cosmopolitan,Kendall Jenner,Spring,Morning,122,3375,Negative
OAURLBT,124.05,Jigsaw,Swimwear,Very Good,4.126167860737457,Glamorous,S,MediumBlue,Medium,36,Marie Claire,Negin Mirsalehi,Summer,Afternoon,185,2288,Negative
IIR44KD,42.34,Mulberry,Accessories,Very Good,3.7016970469023684,Vintage,S,Tomato,Medium,43,Cosmopolitan,Negin Mirsalehi,Fall,Evening,198,1458,Negative
H9K1B6V,53.46,Burberry,Outerwear,Best,3.8137608888838117,Formal,L,BlanchedAlmond,Low,49,Fashionista,Leandra Medine,Autumn,Afternoon,158,2717,Positive
VSRXVMK,147.86,Tommy Hilfiger,Swimwear,Bad,3.970885931391713,Minimalist,M,Red,High,42,Vogue,Kendall Jenner,Summer,Afternoon,104,1064,Positive
3Z3RS8J,162.49,Ralph Lauren,Bottoms,Not Good,3.6567680447758626,Streetwear,XS,LavenderBlush,Low,59,Grazia,Aimee Song,Autumn,Afternoon,185,1017,Positive
QG2ESO1,103.05,Calvin Klein,Dresses,Not Good,3.933406705941188,Glamorous,M,LightCyan,Low,56,Fashionista,Negin Mirsalehi,Fall,Afternoon,154,1909,Positive
O8JKFQ7,117.89,Mulberry,Activewear,Very Good,4.050818902919501,Sporty,L,SteelBlue,High,47,InStyle,Aimee Song,Spring,Morning,175,3665,Neutral
P7DR8Q3,242.97,Ted Baker,Bottoms,Not Good,3.756898270544174,Streetwear,S,IndianRed,Low,57,W,Julie Sariñana,Summer,Morning,141,3420,Positive
JRBJEBK,119.28,Burberry,Jewelry,Not Good,4.1719408829510805,Formal,XS,PaleGoldenRod,Medium,57,Fashionista,Camila Coelho,Winter,Afternoon,170,1663,Positive
ENI0RBU,15.45,Tommy Hilfiger,Lingerie,Very Good,3.5273577704223835,Preppy,L,MediumSeaGreen,Low,37,W,Leandra Medine,Spring,Afternoon,152,2484,Neutral
KHXUEI5,50.16,Jigsaw,Lingerie,Best,3.8244233347488223,Edgy,S,Crimson,High,45,Harper's Bazaar,Kendall Jenner,Fall,Morning,155,2047,Neutral
BHJJRQ4,395.85,Ted Baker,Outerwear,Very Bad,3.5293435597801794,Edgy,M,MediumPurple,Low,60,Elle,Leandra Medine,Spring,Morning,157,3495,Negative
Z99RNQZ,91.45,Ralph Lauren,Lingerie,Very Good,4.330580768594345,Minimalist,XL,Chocolate,High,25,Marie Claire,Olivia Palermo,Summer,Morning,161,4541,Negative
7VRF1OL,93.1,Jigsaw,Accessories,Good,3.8160243910139577,Vintage,L,Beige,High,36,Marie Claire,Negin Mirsalehi,Autumn,Afternoon,120,3597,Neutral
N4V3CAR,25.39,Tommy Hilfiger,Swimwear,Not Good,3.907645194394293,Vintage,XL,Ivory,High,25,Vogue,Chiara Ferragni,Spring,Morning,159,3503,Positive
CH6XTUN,190.56,Burberry,Swimwear,Not Good,4.149439345231752,Vintage,S,Sienna,Low,39,Vogue,Camila Coelho,Fall,Afternoon,105,4279,Negative
JLDNCCH,141.67,Ralph Lauren,Dresses,Worst,4.749530321618939,Edgy,S,SeaShell,High,20,W,Julie Sariñana,Winter,Morning,169,4269,Negative
T82VZXQ,56.49,Mulberry,Activewear,Worst,3.8922589399482943,Bohemian,S,DarkGreen,High,36,Glamour,Song of Style,Winter,Morning,61,3881,Neutral
SOFUXSE,23.03,Tommy Hilfiger,Lingerie,Very Good,3.5630447193772063,Preppy,S,Yellow,Low,54,Fashionista,Song of Style,Autumn,Evening,118,4216,Negative
ZKQGOJR,239.67,Ralph Lauren,Bottoms,Not Good,3.9974564412507165,Sporty,XL,GhostWhite,Low,40,Marie Claire,Negin Mirsalehi,Winter,Evening,148,1498,Negative
8OK47NE,125.77,Mulberry,Jewelry,Best,3.754931000413017,Sporty,XS,NavajoWhite,Medium,57,Elle,Julie Sariñana,Autumn,Morning,66,3068,Positive
UZYL2JS,118.89,Alexander McQueen,Swimwear,Not Good,4.060646965127378,Formal,L,CornflowerBlue,Low,37,Marie Claire,Song of Style,Summer,Evening,182,2461,Positive
M7BGPXO,82.73,Mulberry,Footwear,Not Good,4.410426910739968,Bohemian,L,MediumBlue,High,49,Fashionista,Julie Sariñana,Summer,Morning,198,4785,Positive
S3UJZ6B,60.71,Ralph Lauren,Jewelry,Not Good,4.0109474887835495,Glamorous,XS,Brown,Low,51,Marie Claire,Chiara Ferragni,Fall,Morning,53,1432,Negative
TI22H4D,138.47,Burberry,Jewelry,Very Good,3.8953293646795735,Glamorous,L,AliceBlue,Low,43,Glamour,Aimee Song,Autumn,Morning,73,3061,Neutral
HGE6LVH,167.13,Ted Baker,Footwear,Worst,3.777328295276651,Casual,XL,Khaki,High,54,W,Chiara Ferragni,Summer,Morning,168,1236,Neutral
ZZW6HLI,83.17,Ralph Lauren,Tops,Best,3.9670917659271794,Bohemian,M,Khaki,Low,28,Glamour,Olivia Palermo,Autumn,Afternoon,162,1081,Positive
TLI6UYR,128.71,Alexander McQueen,Footwear,Worst,4.047943930757445,Edgy,L,Aqua,Medium,59,Elle,Leandra Medine,Winter,Evening,140,723,Negative
77P83EF,139.3,Jigsaw,Activewear,Very Good,3.570079933278138,Vintage,XL,Tomato,Low,58,Marie Claire,Camila Coelho,Spring,Evening,168,3989,Neutral
MY2MRHV,95.2,Jigsaw,Swimwear,Best,3.8387294475560605,Formal,M,Tomato,Low,39,Harper's Bazaar,Chiara Ferragni,Fall,Morning,127,3912,Positive
7QZCLKQ,159.2,Ralph Lauren,Tops,Very Bad,3.912308766520688,Preppy,S,NavajoWhite,Low,36,Vogue,Chiara Ferragni,Spring,Afternoon,74,3595,Positive
FGTJHYX,278.31,Tommy Hilfiger,Bottoms,Very Bad,3.9344116824258606,Formal,XS,Violet,High,36,Vogue,Leandra Medine,Spring,Morning,181,3037,Neutral
W12RDE5,20.61,Mulberry,Accessories,Very Bad,4.199961829393847,Glamorous,XL,Beige,High,36,Fashionista,Song of Style,Spring,Afternoon,90,4749,Neutral
JNY6YJB,31.12,Calvin Klein,Jewelry,Very Good,3.6430174001720133,Sporty,XL,OldLace,Medium,22,InStyle,Negin Mirsalehi,Autumn,Morning,79,1459,Neutral
DXEF4T0,357.54,Mulberry,Dresses,Worst,3.8616380077608112,Sporty,S,PaleTurquoise,Medium,59,W,Chiara Ferragni,Winter,Morning,54,888,Neutral
6CX6HKI,257.52,Ted Baker,Bottoms,Best,3.3053474862109375,Sporty,XS,OliveDrab,Low,59,Glamour,Negin Mirsalehi,Fall,Morning,178,1359,Negative
T9XS6LQ,33.26,Ted Baker,Bottoms,Very Bad,3.356588069739923,Vintage,L,DarkTurquoise,Low,55,Fashionista,Chiara Ferragni,Summer,Afternoon,106,877,Neutral
1HQ783P,108.22,Jigsaw,Bottoms,Very Bad,4.144431902581999,Bohemian,XS,RosyBrown,Medium,38,InStyle,Negin Mirsalehi,Spring,Afternoon,180,3229,Positive
EVZ05HD,223.96,Ted Baker,Bottoms,Not Good,3.6739370924993744,Minimalist,L,DarkSlateBlue,Medium,51,Harper's Bazaar,Song of Style,Fall,Afternoon,166,4527,Negative
XIEVUOU,99.19,Jigsaw,Bottoms,Not Good,3.7322724335223607,Minimalist,M,PeachPuff,Medium,20,Marie Claire,Camila Coelho,Fall,Morning,145,1413,Neutral
W236YIN,187.31,Calvin Klein,Tops,Good,3.4453941442201192,Minimalist,S,IndianRed,Low,24,Vogue,Leandra Medine,Winter,Morning,75,207,Positive
UC5IKBD,122.24,Alexander McQueen,Jewelry,Bad,3.9819556241245655,Edgy,XL,LightSlateGray,Low,43,Grazia,Leandra Medine,Autumn,Evening,171,2970,Negative
29Q4LLI,241.07,Ted Baker,Bottoms,Very Bad,3.8208376772686883,Vintage,S,Fuchsia,Low,30,Glamour,Song of Style,Fall,Afternoon,182,4323,Positive
1J26CW5,93.18,Burberry,Lingerie,Very Good,3.866289721035281,Bohemian,S,Aqua,Low,25,Marie Claire,Camila Coelho,Spring,Afternoon,108,539,Negative
9Q6WLM0,81.6,Mulberry,Tops,Very Good,3.362499570197002,Edgy,XL,OrangeRed,High,58,Fashionista,Gigi Hadid,Fall,Afternoon,78,298,Positive
I3ZIT2S,135.74,Jigsaw,Tops,Best,3.713056352732487,Bohemian,M,Violet,Medium,31,Vogue,Leandra Medine,Winter,Evening,55,1529,Neutral
JNPBVVI,64.5,Ted Baker,Accessories,Best,3.7577171547138772,Edgy,XL,SeaShell,Medium,58,Elle,Aimee Song,Spring,Morning,134,2399,Positive
66YUTA3,39.83,Mulberry,Lingerie,Very Good,4.05367116464414,Edgy,XS,DeepSkyBlue,High,30,InStyle,Gigi Hadid,Summer,Morning,124,2875,Negative
Z4JXY3L,88.91,Burberry,Swimwear,Best,3.6422719421718592,Edgy,M,Black,Low,55,Grazia,Julie Sariñana,Fall,Afternoon,95,1509,Neutral
UZIWOOU,80.54,Calvin Klein,Footwear,Not Good,3.647567265527519,Casual,S,Yellow,Low,39,Marie Claire,Song of Style,Spring,Evening,182,1491,Positive
EXFRANI,304.62,Alexander McQueen,Outerwear,Worst,3.7391233031175113,Edgy,L,IndianRed,Low,38,Marie Claire,Camila Coelho,Autumn,Afternoon,120,2341,Positive
DLRPZLE,322.96,Ralph Lauren,Dresses,Best,4.631549845396198,Casual,XS,DarkKhaki,High,33,Marie Claire,Negin Mirsalehi,Summer,Evening,136,3681,Neutral
ESXHTP9,23.7,Tommy Hilfiger,Lingerie,Very Bad,4.011296099159996,Streetwear,XL,Silver,High,26,W,Song of Style,Fall,Afternoon,158,2422,Negative
0TWFRN4,316.85,Calvin Klein,Dresses,Worst,3.9457464031295673,Casual,XL,MediumTurquoise,Low,54,Glamour,Negin Mirsalehi,Winter,Evening,167,4601,Positive
H5KLRYR,66.46,Ralph Lauren,Accessories,Very Bad,4.032431096921975,Minimalist,M,DarkSalmon,Medium,35,Harper's Bazaar,Song of Style,Fall,Morning,92,4424,Positive
VY17D8T,170.94,Tommy Hilfiger,Bottoms,Best,3.390691645032076,Minimalist,XL,GreenYellow,Medium,55,Harper's Bazaar,Julie Sariñana,Autumn,Afternoon,86,2141,Negative
D6Q977A,37.02,Jigsaw,Accessories,Not Good,3.6720588469354487,Streetwear,L,MediumSeaGreen,Medium,34,InStyle,Negin Mirsalehi,Autumn,Afternoon,67,2951,Negative
EOTIRD8,130.12,Alexander McQueen,Tops,Not Good,4.124434629757261,Streetwear,XS,Pink,High,41,Cosmopolitan,Gigi Hadid,Fall,Evening,54,1209,Positive
WG5ISW9,185.48,Ted Baker,Tops,Worst,3.8059963083941333,Casual,S,RoyalBlue,High,21,Glamour,Chiara Ferragni,Spring,Evening,144,1108,Neutral
ZYAM1I1,104.71,Tommy Hilfiger,Activewear,Good,3.5032116890708234,Casual,XS,DarkViolet,Low,25,Marie Claire,Aimee Song,Autumn,Afternoon,190,475,Positive
OY1N1XV,267.7,Tommy Hilfiger,Outerwear,Worst,3.990485640287995,Minimalist,M,MediumOrchid,High,34,Cosmopolitan,Chiara Ferragni,Spring,Evening,200,2301,Neutral
FC7MNOR,94.28,Jigsaw,Accessories,Not Good,3.570203532694519,Minimalist,S,DarkGray,Low,48,Elle,Camila Coelho,Summer,Morning,111,4759,Negative
EIXVM2H,84.92,Alexander McQueen,Lingerie,Not Good,4.001771947833223,Streetwear,S,CadetBlue,Low,42,Harper's Bazaar,Leandra Medine,Autumn,Evening,136,3621,Neutral
LT9X8IV,87.54,Mulberry,Lingerie,Good,3.623908928974914,Edgy,XL,DarkTurquoise,Low,60,Vogue,Song of Style,Spring,Afternoon,153,1763,Neutral
TA15P0U,148.27,Burberry,Tops,Very Good,4.180291907518916,Streetwear,XL,DarkSlateBlue,High,46,Grazia,Gigi Hadid,Winter,Morning,145,512,Negative
KDITHAU,383.95,Jigsaw,Outerwear,Not Good,4.150395956026602,Casual,XS,LemonChiffon,High,44,Vogue,Gigi Hadid,Autumn,Evening,97,3242,Positive
82SQQ55,47.53,Mulberry,Bottoms,Bad,3.097945633997974,Casual,L,DarkSlateBlue,Low,59,Harper's Bazaar,Song of Style,Fall,Morning,166,579,Neutral
